Cross 1, Cross 2, Cross 3, Cross 4, Cross 5, Cross 6
15.5,4,7,10.5,4,18
16.5,4,7,8,6,8
12,6,7,8.5,4,15.5
7.5,7,7,13.5,6,17.5
13.5,6,8,10.5,6,18.5
9,2,7,6.5,5,10.5
7,4,8,4.5,3,13.5
13,4,3,11,6,17.5
9.5,5,9,12,3,11
11.5,7,6,8,3,10
6,7,2,12.5,1,17
5.5,6,4,7.5,3,10.5
11,3,5,4,4,10
12.5,5,4,5,4,11
9,1,5,3,3,13
4,2,3,10.5,2,8
8,4,5,4.5,2,11
7.5,1,3,6,4,9
5,2,4,4.5,6,9
5.5,2,6,11.5,3,13
9,5,3,4,0,7.5
9,7,6,13.5,2,19
9.5,1,6,6,3,6.5
9,5,5,9,5,9.5
14.5,4,0,9,1,15.5
10,3,2,2.5,0,4
6.5,4,2,9,3,7.5
6,2,2,6.5,2,14
7,1,2,3.5,2,8
6,2,1,5,0,10.5
10,4,6,8,4,9.5
8.5,5,4,9.5,4,13.5
8.5,3,5,8.5,2,11.5
12,2,4,6,2,17
12,2,7,12.5,3,13.5
21.5,9,3,9.5,2,10.5
10,5,7,10,5,12.5
21.5,5,8,13.5,6,24.5
28,7,7,11,0,15.5
26,3,8,11,2,19
24,4,18,9,7,14
22.5,7,14,18,7,21.5
32,9,14,15,5,34
32.5,4,11,16,5,20
46,10,18,17.5,2,37
39,12,22,20,5,37
54,16,22,23,9,31
74,19,16,39.5,8,53
62,20,33,38.5,17,53
81,19,30,47.5,10,46.5
91,31,26,38,13,58.5
83.5,15,29,48.5,20,61
126,29,32,44.5,17,68.5
108.5,24,37,52.5,21,67.5
92,19,38,52,26,43
127,40,56,63,19,69.5
121,31,43,71.5,30,64.5
161,37,60,71,38,86
144,36,61,71.5,45,82.5
181.5,39,63,93.5,54,89.5
200,42,74,108,36,99
198,49,64,85,49,96
239,71,87,159.5,96,143
235.5,72,123,172.5,97,128
258,87,108,191.5,101,164.5
265.5,86,144,187.5,119,197.5
276.5,105,160,221,129,177.5
256.5,117,138,223,138,197.5
268.5,117,160,250.5,143,162.5
286,144,141,215,160,201.5
327,131,185,225.5,175,184.5
281,119,165,274,172,239.5
243,124,150,218.5,163,212.5
240,110,179,198.5,142,185.5
264,103,167,206,120,169.5
251.5,116,150,208.5,126,186.5
259.5,89,154,176,133,166.5
195.5,82,147,230,114,183.5
213,84,128,185.5,99,226
210,75,132,197.5,92,180
219.5,68,108,171,72,160
190.5,68,88,184.5,68,165
226,74,94,181.5,71,165.5
203.5,73,107,161,71,169
186.5,65,80,160,87,164.5
211,73,72,151.5,64,177
211.5,65,77,173.5,66,184.5
217.5,70,82,172.5,62,146
208.5,56,89,165,68,147.5
199.5,60,73,132.5,63,180
191,70,77,143,68,135.5
189.5,68,91,139.5,54,138
159.5,63,64,167.5,57,149.5
180,63,82,161,55,157
149,63,71,147,57,172.5
184,70,73,97,50,146.5
165.5,64,70,162.5,47,170.5
209,54,87,176.5,69,177
222,64,77,160.5,55,149
207.5,64,74,150,61,168
199,63,70,147.5,61,175
206,75,67,172,59,163.5
207,64,84,148,53,140
201.5,69,74,153.5,64,137.5
192,63,79,140,66,132
157.5,61,64,109.5,52,172
139.5,50,81,124,57,157
151,61,66,129,46,124.5
147,62,72,125,60,135
166.5,59,85,144.5,69,120.5
153,59,96,119.5,65,137
164,74,67,165.5,73,141
163,62,89,131,54,129
160.5,59,85,137.5,75,144.5
175.5,64,80,158.5,87,127.5
182.5,69,79,167.5,98,137.5
161,59,80,138.5,76,153.5
145,48,74,121.5,67,142
157.5,56,91,123.5,55,123.5
171.5,68,70,133,67,153.5
157,53,67,105,55,132
114,44,73,111,52,134
160.5,47,82,109,55,107.5
132.5,43,50,126,58,132.5
145.5,54,69,110,43,113
135.5,47,58,92.5,30,127.5
155.5,53,57,105.5,66,128.5
135,45,75,120.5,45,28
123.5,39,10,130.5,0,0
0,0,0,45.5,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
53.5,26,30,47,26,77
49,22,21,40,24,57
40,20,27,38.5,28,66
53.5,14,24,55,43,69
31,17,11,40,10,50.5
25.5,8,10,31.5,16,40
27.5,14,13,37,16,40.5
34,12,18,27,12,47.5
47,24,11,38,8,40.5
26,15,8,25.5,13,48.5
19.5,9,5,28.5,8,36
20,9,9,25,10,21
24,10,16,29.5,15,37
24.5,7,7,24,8,33.5
22.5,13,11,22,6,23
25,12,9,33,12,42.5
21,6,13,21,9,35
14.5,7,7,18,9,19
20.5,9,2,12,6,15.5
17,10,5,18,8,18
16,10,7,16.5,6,9.5
21,10,6,19.5,7,26.5
17.5,9,6,19,5,22
8.5,6,6,15.5,6,18
1.5,0,1,4.5,1,9
14,6,4,13,7,23.5
16,4,6,14,3,24
14,6,1,13,4,25.5
9.5,6,3,6.5,3,20.5
20,11,4,15,8,21
11,7,5,13.5,5,14
17.5,9,4,18.5,4,13.5
12,16,1,14.5,5,18
5,3,2,4.5,4,13
6,11,2,16,1,8
3,3,2,7,2,9.5
8.5,5,2,9,2,6.5
9.5,5,5,4.5,2,12.5
9.5,4,4,7,2,14.5
8.5,10,4,15,4,16.5
6.5,6,6,11,4,15.5
5,2,4,7.5,6,5
5,1,1,6.5,5,12.5
3,2,3,3,1,6.5
4,4,4,11.5,1,7
9,7,1,10.5,1,6.5
7.5,2,4,2.5,1,14.5
0,1,4,5,2,14.5
6,4,0,9.5,2,12
8,8,3,11,0,15
5.5,3,2,7,2,10.5
1.5,2,2,10,1,11
6.5,2,1,3,1,7.5
2.5,5,0,6,0,8.5
2,1,2,7.5,2,11
4.5,3,0,4.5,2,4
1.5,5,1,11,0,9
8,3,0,4.5,2,2.5
3,3,5,7.5,1,8.5
5,4,2,7,1,7
3,2,7,10.5,2,6.5
6.5,2,3,2,2,4
6.5,3,3,5,3,7.5
5.5,6,11,11.5,2,4.5
4,2,2,4,1,6.5
3.5,5,2,8.5,5,3
7.5,4,7,10.5,2,7
14.5,5,11,11.5,10,13.5
37,8,11,10.5,2,19
36,10,10,15.5,2,17
27,5,12,12.5,5,22.5
28,10,13,17.5,7,24
30,6,17,15.5,11,19.5
36.5,8,17,12.5,6,42
32.5,8,13,14.5,6,14.5
47,10,25,28.5,12,33.5
59,15,32,32,6,41
60,14,26,29,12,41.5
63,16,27,38.5,11,55.5
57.5,20,31,28.5,16,45.5
89,28,24,45,8,43
88.5,21,28,51,22,62.5
110.5,25,36,51.5,28,67
91,25,38,50,19,54
102,27,40,42.5,22,75
100.5,27,45,55,21,84.5
139,26,45,62,36,60
129.5,28,48,84.5,31,76.5
157,45,68,75,31,76.5
161.5,41,58,92,55,108.5
216,42,63,122.5,44,110
217,57,72,115,74,105
207,36,86,105,75,133
229.5,58,95,146,81,149
266.5,72,96,189.5,103,151
249,99,123,210,100,151
265,109,157,198,164,188.5
255,103,155,222,148,192.5
243.5,127,164,282,154,210.5
280.5,133,162,278,172,222
302.5,147,152,227.5,168,205.5
280.5,106,170,234.5,168,213.5
324.5,140,163,228,157,191
288,124,181,275.5,151,214.5
292,115,161,245.5,146,200.5
268,92,162,178,140,193.5
206,90,162,206,139,181.5
255,63,150,208,140,202
269,84,153,187.5,125,179.5
233,85,133,166,100,184.5
230,88,127,173,85,174.5
212.5,69,109,179,88,154.5
189,76,85,167,71,159
137,82,105,165,81,199
256.5,66,88,158,68,152
236,85,90,173,56,178
201,72,72,160.5,66,156.5
234.5,74,88,143.5,77,172
203,76,88,172.5,58,158
185,75,77,157,69,152.5
205.5,57,87,174,65,159
200,72,74,165.5,61,178
214.5,67,81,157,52,156
217.5,75,93,155,69,159.5
199,69,87,181.5,60,167.5
209,64,78,145.5,56,145.5
158.5,50,79,131,58,132.5
191.5,66,63,152.5,62,170.5
182.5,55,88,158,57,173.5
157,64,82,138,62,149
182.5,66,85,146.5,57,139
174.5,53,64,141.5,56,175.5
158,69,83,144,64,149.5
156,66,62,148.5,60,170.5
167.5,57,58,119.5,36,130
168,70,75,142,45,146
159,67,66,122.5,55,128
152.5,66,71,135.5,63,147.5
160.5,60,72,136,57,119.5
150,71,76,154.5,54,176
145.5,51,89,147.5,66,139.5
162,59,69,111.5,67,149.5
146.5,70,77,157,78,11
168,57,71,161.5,13,0
153.5,34,0,156.5,0,0
101,0,0,8.5,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,0,0,0,0,0
0,0,0,0,0,0
0,14,20,50,36,0
0,20,31,54,27,0
0,22,27,55,25,0
0,14,12,41,11,0
0,18,24,40.5,27,0
0,22,23,49.5,23,0
0,21,19,47,19,0
0,14,22,26.5,23,0
0,12,14,43,9,0
0,11,28,25,13,0
0,13,18,26.5,13,0
0,13,13,38.5,20,0
0,7,5,23,13,0
0,11,13,27.5,12,0
0,9,9,18.5,14,0
0,8,9,35,19,0
0,6,15,10.5,6,0
0,7,3,19,6,0
0,8,7,17.5,7,0
0,3,4,15,11,0
0,4,6,15.5,10,0
0,8,5,15,6,0
0,12,6,31,3,0
0,7,4,8,7,0
0,2,4,4.5,2,0
0,4,4,14,2,0
0,11,5,10.5,7,0
0,11,5,22,7,0
0,6,8,8.5,6,0
0,7,4,10,6,0
0,7,2,9.5,7,0
0,4,9,8,2,0
0,7,3,12,4,0
0,10,4,16,3,0
0,5,3,8.5,6,0
0,4,3,8,4,0
0,6,4,9.5,3,0
0,11,6,11,5,0
0,3,4,12,4,0
0,6,3,8,1,0
0,5,2,8.5,1,0
0,8,1,15.5,4,0
0,4,6,5.5,5,0
0,3,3,7,1,0
0,8,5,8,2,0
0,3,4,1.5,3,0
0,4,2,9.5,6,0
0,1,4,6,5,0
4,4,8,9,6,0
9,6,5,8.5,2,0
9,4,2,10,1,0
3,0,3,4,2,7.5
8,1,0,7,1,5
9.5,1,1,2,2,4.5
6.5,4,2,10,0,6
9,4,0,7.5,1,8
7,6,3,9,6,6
7.5,2,3,3,2,13.5
14,4,6,7,3,10
8.5,6,4,8.5,6,11.5
15,3,3,10,1,13
7,1,4,10,0,15
22,1,3,4,3,9
12.5,6,4,9,2,10.5
6,8,4,10.5,1,12.5
13,4,2,3,4,9
16,6,5,12,4,13.5
22,7,10,15.5,7,21
23,7,8,13,6,23
33,4,16,15.5,3,14.5
33.5,6,11,20.5,7,33
31,5,15,15,5,23
40,7,11,13,6,24.5
40,11,12,20,9,24.5
40,14,21,24,9,42.5
40,8,19,21,11,43.5
45.5,11,26,21.5,3,32.5
85,11,22,30.5,5,43.5
67,15,27,30,8,37.5
63,19,37,36.5,11,57.5
72,20,27,50.5,14,50.5
81,24,44,44,20,42.5
108,28,35,47,22,66
79.5,17,34,59.5,16,55
103.5,19,40,52,28,87.5
126,33,52,64.5,26,48
109.5,20,47,65,28,62
123,28,48,84,29,49.5
154,39,66,89.5,42,93
178.5,40,57,87,43,82
205.5,30,66,93,49,73.5
219.5,59,72,133,53,90.5
225,60,72,107,71,111.5
223.5,60,106,165,77,120.5
297.5,68,100,170,104,141.5
250.5,97,134,213.5,126,181.5
239.5,96,136,216,114,194
277.5,131,152,257.5,136,195.5
307.5,118,183,253.5,167,188.5
319.5,151,181,223.5,162,176
291.5,134,170,142,164,214
276,143,195,310.5,171,204
317,140,184,261,169,243
279,128,182,266,151,234.5
250,89,179,211,147,207.5
273,88,165,209.5,138,196
240.5,79,154,195.5,123,179.5
248,74,143,218,126,169
261.5,104,126,190,94,196
223,76,93,183.5,76,171
231.5,74,105,166,78,159.5
245.5,78,99,174.5,84,175
186,52,86,147.5,75,165.5
194.5,73,96,176,70,178.5
212.5,66,85,154,68,190.5
194,66,92,166.5,66,179
186.5,66,79,142.5,59,167
199,61,77,131,56,181.5
201,66,83,176,56,162
195,69,73,162,61,148
196,73,97,159,72,156.5
177,64,81,153,70,163.5
220.5,72,87,162.5,63,165
180,63,83,167.5,58,180.5
169.5,52,83,118.5,59,138
187,55,72,148.5,67,154.5
180,67,84,134,51,169
174.5,56,101,118.5,73,147.5
158,71,76,145.5,65,164
163.5,76,77,128.5,54,142
173,59,58,139.5,48,115
164,52,69,131,60,143.5
141.5,54,68,128,61,154
153.5,66,80,151.5,64,155.5
164,48,76,104.5,52,145.5
143,62,53,143,51,157
145.5,61,67,138,50,140
165.5,50,72,134.5,49,133
161.5,57,63,108.5,52,147.5
169,67,51,168.5,65,59
42,34,0,143.5,3,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
55.5,0,29,48.5,45,67.5
45,0,19,48,30,62
30.5,0,21,40.5,25,44
38.5,0,13,36,19,56
37.5,0,19,42.5,24,45
52,0,15,47.5,16,45.5
31,0,14,23.5,18,39.5
35.5,0,12,44.5,18,47.5
32.5,0,21,33,14,51
38,0,16,42,18,49.5
24,0,16,32,18,37
22.5,0,13,21.5,18,31.5
20.5,0,10,26,17,34
29.5,0,7,29.5,9,33
31.5,0,11,30,6,29.5
24.5,0,11,23.5,14,35
15,0,5,23.5,15,30.5
21,6,9,18,8,22.5
22.5,9,12,18.5,13,21
23.5,7,10,25.5,12,20.5
18.5,8,12,19,6,23.5
19,14,10,30.5,8,22.5
22,5,4,21.5,4,13
14,11,3,13,2,15.5
6.5,2,4,3,4,4
11.5,5,4,13,5,18
9.5,8,10,15,4,20.5
9,4,4,6,7,19.5
17,8,3,9.5,5,19.5
16,7,4,26,4,17
13,5,3,12,7,15
15.5,1,2,7,2,7
9.5,2,2,5,5,11
10.5,9,3,5.5,5,16.5
13,3,6,12,4,12
12,3,5,14,7,12
12,5,2,6,4,13
12.5,2,3,8,3,7
8.5,5,2,8,5,9
11.5,9,6,10.5,3,6.5
9,6,4,20,5,13
10,2,2,2.5,2,10.5
12.5,10,4,6.5,0,10.5
7.5,4,1,10.5,1,14.5
10,1,2,8,2,10
13,5,2,6.5,4,12
12,7,4,9.5,2,8.5
4.5,4,2,9.5,3,10
8.5,5,2,8.5,1,13.5
8,4,2,7.5,5,14.5
10,3,5,4.5,2,8
9,5,3,5.5,2,11.5
12.5,0,2,4,3,7
9,6,2,11,0,5.5
5,5,1,14,2,18
11,0,1,3.5,0,9
12,4,3,12,1,15
8,5,3,4.5,2,6
9,3,1,5,2,13
7,3,4,3.5,4,10
7.5,3,8,10,4,9
9.5,6,5,6.5,3,14.5
14,6,6,8.5,4,8.5
10.5,4,1,9.5,4,13.5
13,6,9,10,3,13
10,5,4,9,1,12
18,5,7,17,4,14.5
27.5,7,7,6.5,1,19
13,6,11,7,7,15
22,5,8,16,4,17.5
30,9,15,16,9,27
18,5,12,19,8,26
36.5,7,16,15.5,2,18.5
31,7,9,18,3,22.5
48,14,14,17.5,3,34.5
44,5,30,21.5,4,44
51.5,9,25,14.5,17,40.5
51,16,32,28,17,28.5
65,17,19,40,9,46.5
71.5,21,26,48,13,44.5
93,15,22,40,10,34.5
95,27,39,41,16,41
104,24,38,44,26,42
80.5,20,37,44.5,23,69.5
88,27,45,42,17,56.5
116.5,30,42,69.5,32,55.5
107,25,46,65,44,49
120,32,54,74,41,57.5
152,34,68,84.5,35,83
193.5,40,54,82,33,72.5
165,48,60,101,40,71.5
194.5,44,66,114,65,77.5
232.5,53,94,128,65,117
228.5,71,99,167.5,89,130
257,78,104,149.5,101,145.5
250.5,86,128,172.5,118,168.5
253,112,150,239.5,148,169.5
311,106,165,250,139,216
302.5,123,177,241.5,157,211.5
288.5,137,218,265,164,198.5
352.5,129,179,263,180,190.5
308.5,139,173,259.5,169,214.5
269,128,171,249,165,220
284,116,183,260,160,217.5
294.5,108,172,234.5,123,178.5
273,106,154,206,122,209.5
250.5,84,158,212,130,153
225.5,90,125,174,103,164.5
229,77,133,186,95,179.5
209.5,78,109,172,94,153
216.5,69,110,173.5,93,192
201,63,107,162,92,175.5
214,76,99,157.5,85,151.5
161.5,53,100,153,80,190.5
196,65,96,148.5,58,143.5
214,87,96,202.5,67,135
230.5,61,95,150.5,59,183.5
170,69,85,133,79,175
178,72,86,165,57,109.5
185,84,74,161.5,58,186
195,62,85,158,65,138.5
189,61,75,159.5,70,141.5
197.5,56,87,140,62,173.5
180,77,87,146.5,61,125.5
196,58,88,140,59,166.5
177.5,60,75,115.5,63,172
195,57,78,135.5,54,103.5
181,61,90,115,65,162
170,58,67,197.5,62,156
160,58,77,126.5,62,131
164,71,71,120.5,47,170
174.5,56,88,137.5,73,165
180,68,66,122.5,46,129.5
165,55,79,156,54,154
158,52,71,134,69,152.5
128,50,86,95,66,168
149,47,66,141,58,178.5
161.5,76,74,145,41,125.5
143,66,72,124,57,150.5
181.5,64,82,129.5,72,68.5
186,68,75,158,8,0
161.5,34,0,167.5,0,0
114.5,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
